id,tripdistance,Pred_ETA
32456,103,25.000000000000004
000V4BQX,17549,258.99999999999994
003WBC5J,7532,179.0
004O4X3A,10194,244.99999999999991
006CEI5B,32768,233.00000000000006
009G0M2T,4513,194.99999999999991
00A3ZHHB,3243,333.0000000000001
00BRKED8,9878,244.99999999999991
00F6T3BP,9048,244.99999999999991
00HN6E8I,24257,247.99999999999994
00HS3XXF,4002,148.0
00I2LQXB,13614,155.0
00L8B0SE,12393,287.00000000000006
00OWTXZD,6185,142.17821063276358
00PNEC3Z,28704,279.9999999999999
00R4O0RU,21496,298.99999999999994
00UN3NTN,5055,194.99999999999991
00VNR98C,13394,155.99999999999994
00WNC10D,25461,247.99999999999994
00XN24ZZ,15107,155.99999999999994
00XUV5ZA,1666,100.00000000000003
00XYODZY,22116,166.00000000000006
00Y55WG1,10352,241.99999999999994
00Z2KCDZ,17468,196.0
00ZZRLPD,11495,172.00000000000006
010YSNCO,5455,70.0
012RRJ0R,13508,155.0
012V36NR,20826,274.9999999999999
014PL5HN,9364,244.99999999999991
017DQTZ5,13382,155.0
019LKXYD,2873,333.0000000000001
01BFEF3D,27688,173.0
01F3EMGD,21850,166.00000000000006
01F56BTX,5858,175.99999999999994
01F5WFIJ,5630,70.0
01HMMFP3,15948,359.99999999999983
01IHFY2V,15885,287.00000000000006
01JM9RTG,5197,118.00000000000003
01KDGA66,27142,269.00000000000006
01KUEVC1,2743,333.0000000000001
01LFCY6Z,37313,216.00000000000003
01LZ4P3C,25359,247.99999999999994
01M0W4B4,11820,172.00000000000006
01MEWIXE,15202,169.00000000000006
01NBG1SI,20908,126.99999999999997
01O3DI4E,3970,109.99999999999997
01OZ7SN8,10323,241.99999999999994
01P9UDI0,12884,287.00000000000006
01QFQ7LR,4030,114.00000000000001
01QH2MKZ,7650,179.0
01QVEQBG,11559,188.7910907901608
01T7QMDR,17810,258.99999999999994
01V9XYE3,18070,205.99999999999994
01VG75BO,10755,241.99999999999994
01VGB3CZ,30836,207.99999999999997
01VQFSVE,24113,286.00000000000006
021D1H50,3175,333.0000000000001
024IZALO,5216,118.00000000000003
025SHTKR,20571,298.99999999999994
02C4QT1S,2083,87.99999999999999
02DLUXW8,18450,118.00000000000003
02DVTSHX,4399,355.739228165783
02GRBULM,14275,287.00000000000006
02HQP80U,11865,210.00000000000003
02IIEJ0Y,30319,207.99999999999997
02OAKS3W,16027,359.99999999999983
02PE735S,15176,169.00000000000006
02RVJ3NX,13027,148.0
02YGVXX0,3451,175.99999999999994
02Z6J93C,9328,244.99999999999991
02ZBMA6T,13244,155.99999999999994
030W4UC5,20587,274.9999999999999
031BTSPP,7091,230.99999999999997
0345CSH2,26066,247.99999999999994
035KDW25,18876,118.00000000000003
0370TUOH,20250,274.9999999999999
037DEX64,13901,155.99999999999994
0385UYE7,9281,244.99999999999991
0394NO1C,3134,333.0000000000001
03B57WF0,25815,247.99999999999994
03D0CZ12,31150,207.99999999999997
03DV7DSY,42155,228.00000000000006
03F9MKMS,6942,230.99999999999997
03FFU7QC,4252,148.99999999999997
03FT8UJ5,22730,202.99999999999994
03GIAKYC,4164,346.00000000000006
03GSIPUW,16749,2.0000000000000004
03H42QBA,5083,118.00000000000003
03HEO6XD,9574,244.99999999999991
03HUWDQT,15636,87.99999999999999
03I2XAUZ,15879,359.99999999999983
03P3BRWX,7280,230.99999999999997
03R3QV2D,6933,230.99999999999997
03SQRSGA,19154,2.0000000000000004
03SQX4SO,12598,172.00000000000006
03T7B0MV,5324,70.0
03U3P3FB,1574,100.00000000000003
03Y93852,6634,142.17821063276358
03ZJ8ZHS,7483,179.0
03ZJ8ZJA,4360,346.00000000000006
0410QY1K,17550,258.99999999999994
04203XSD,28862,445.00000000000006
04297MV1,22634,202.99999999999994
043KMKMQ,5908,175.99999999999994
043LIIF0,10448,241.99999999999994
045FUDR0,10177,244.99999999999991
046H1KPZ,9670,244.99999999999991
047A0334,23582,270.00000000000006
0483RWEL,22655,298.99999999999994
048JNP3Y,9395,244.99999999999991
049MGBP6,16125,359.99999999999983
04ALZ8PR,12011,172.00000000000006
04C92Z98,31042,173.0
04DHDCN5,11861,148.0
04DOLWSF,20160,274.9999999999999
04FDOX33,6189,118.99999999999997
04G16WNM,16854,453.99999999999994
04HZ0DVV,20565,274.9999999999999
04JH359S,16705,453.99999999999994
04M8VYZA,11242,226.9034883453959
04MS371O,5711,70.0
04NL4S6Z,8510,179.0
04P3DVRW,43941,401.0
04PHPOGP,8395,179.0
04PM33GH,4039,109.00000000000004
04SCJP4H,830,30.0
04TTIGV6,13455,155.99999999999994
04UKKGIP,7816,179.0
04VP0UUG,9916,244.99999999999991
04VV9DUW,3669,175.99999999999994
04WUDZZ4,8179,179.0
04Z9M7UQ,5519,70.0
050HHQ31,15228,287.00000000000006
053AB5JI,13306,287.00000000000006
053ZR9JQ,13299,287.00000000000006
055K1UOL,8945,244.99999999999991
056RDD4X,3382,175.99999999999994
056SJDYU,3195,333.0000000000001
058WM88J,22726,270.00000000000006
05A66KX5,5514,70.0
05BDDDAR,6230,93.0
05ECVRTB,12199,287.00000000000006
05ELVAQP,7332,230.99999999999997
05FRSXLZ,24040,247.99999999999994
05G9EFLJ,8423,179.0
05KMHBW9,30050,298.99999999999994
05KWM9TL,4371,346.00000000000006
05LAMRQB,13634,287.00000000000006
05LI7PMD,5006,194.99999999999991
05LKANAH,16948,2.0000000000000004
05M1D54K,13479,287.00000000000006
05ND9UCD,1599,100.00000000000003
05PVL6PQ,28488,445.00000000000006
05RAX4XJ,32011,485.99999999999994
05RM8HBJ,21007,298.99999999999994
05UFNNZJ,6320,94.99999999999999
05UY00R1,14931,287.00000000000006
05V8F0KP,17952,2.0000000000000004
05W5RJ66,31129,173.0
05WF3QNZ,8793,244.99999999999991
05WNG06E,25919,247.99999999999994
05YTSV8D,6141,142.17821063276358
05Z0H6MV,406,77.0
05ZTJ1GM,4707,93.0
060CJJBV,5981,175.99999999999994
060D11WT,3716,175.99999999999994
060LVGYO,8808,244.99999999999991
061YTJR4,4192,346.00000000000006
063EUY66,18001,205.99999999999994
064PH11R,4786,194.99999999999991
065MJ4IQ,26290,247.99999999999994
067B12E0,20556,2.0000000000000004
068LPPHT,12063,148.0
068SFQA9,5517,70.0
068UCEPC,1149,112.00000000000003
0691U1JC,32628,294.0000000000001
069BSPHP,3326,175.99999999999994
06AOL01H,3750,175.99999999999994
06CEOTQC,4294,346.00000000000006
06CFZR6E,17066,2.0000000000000004
06CVC448,9564,244.99999999999991
06CXSKMU,20114,274.9999999999999
06D0E3KC,23055,128.99999999999997
06DFEQZ7,14922,287.00000000000006
06DXMGUO,45375,274.0000000000001
06GA8ARZ,12651,2.0000000000000004
06GIU733,8402,179.0
06MCRXT6,19941,274.9999999999999
06ORD9WN,512,104.99999999999997
06OUB6OS,14054,287.00000000000006
06P03TWM,10300,241.99999999999994
06RWWZZH,11789,287.00000000000006
06S130OX,6137,142.17821063276358
06SOL5GK,24036,247.99999999999994
06SZG8Y5,4286,148.99999999999997
06TNRS1U,16860,453.99999999999994
06U6M2NH,68,31.0
06VRLQT8,8348,179.0
06WM2Y19,8499,179.0
06WM308W,6954,230.99999999999997
06Y4FCO1,7069,230.99999999999997
07267YG9,8261,179.0
077FWN85,39731,367.0000000000001
07A1WJ9E,6812,230.99999999999997
07C49TB3,14652,186.00000000000003
07CKIEW8,23753,212.00000000000009
07CNY7D8,24282,286.00000000000006
07EVD777,5919,175.99999999999994
07FISW9T,13615,155.0
